similar_word,input_word,sensitivity_score
sava,barbarian,0.48298902454039094
slurs,racial,0.48177083333333315
commonalities,diversity,0.48177083333333315
undercut,mastery,0.48177083333333315
linguistically,"ethnicity, natives",0.48177083333333315
caucasian,"racial, ethnicity, white",0.4814914440942444
addiction,disability,0.4806681902787268
predominately,"racial, immigrant",0.4804487836107232
orientation,gender,0.4791666666666665
conflates,interracial,0.4791666666666665
interracial,racial,0.4791666666666665
remarriage,slavery,0.4791666666666665
holodomor,slavery,0.47914110794333964
incentive,ability,0.4770488426929824
draconian,spirit,0.476826849590894
compels,spirit,0.47656249999999983
mithras,enslavement,0.47395833333333315
marrying,slaves,0.47281410179975375
smiljan,spinster,0.47207534912924454
mongols,"tribe, ethnicity, natives, ancestors",0.4715308817164223
peppered,antisemitism,0.4713541666666665
blinding,mastery,0.46874999999999983
nazism,antisemitism,0.46874999999999983
gentiles,gentile,0.46874999999999983
swedes,"immigrant, natives",0.4678378925560479
hazard,ability,0.46678973935579066
ascribes,one,0.46614583333333315
acquiring,ability,0.46438353002298444
obsessions,mastery,0.46354166666666646
halakha,gentile,0.46354166666666646
moroccans,"immigrant, enslavement",0.46354166666666646
revolutionaries,homeland,0.46354166666666646
thracians,racial,0.4625251059194742
glorification,gentile,0.46093749999999983
stereotypes,racial,0.46093749999999983
omnipresent,nation,0.46093749999999983
immigrants,immigrant,0.46014717378951286
assyria,"oriental, nation",0.4590390319524789
expansionist,enslavement,0.45833333333333315
wahabis,homeland,0.45833333333333315
chauvinists,"gentile, interracial, enslavement",0.457993669553443
sociological,diversity,0.45572916666666646
fundamentalist,antisemitism,0.45572916666666646
classifier,racial,0.45572916666666646
focussed,seminal,0.45572916666666646
disarm,refugee,0.45572916666666646
mestizo,"natives, racial, immigrant, ethnicity, white",0.45536905590811466
foibe,enslavement,0.454200221347526
prevention,disability,0.45381499804389863
embraces,interracial,0.45312499999999983
disparity,diversity,0.45312499999999983
prosperity,slavery,0.45312499999999983
uralic,oriental,0.4507160618060122
constitutions,nation,0.45052083333333315
effeminacy,"gender, interracial",0.45052083333333315
nakba,"homeland, refugee",0.45052083333333315
insurgency,refugee,0.45052083333333315
pernicious,respectability,0.45052083333333315
gloating,bossy,0.45051254456622025
immigrated,"immigrant, slaves, natives",0.4497514386569214
farsi,ethnicity,0.4495857099738211
circassian,enslavement,0.44885217624740553
historiography,antisemitism,0.4484434383584072
slur,racial,0.44791666666666646
graphically,seminal,0.44791666666666646
dari,ethnicity,0.4456631181850187
psychotherapy,disability,0.44531249999999983
hysteria,racial,0.44531249999999983
apologetics,antisemitism,0.44531249999999983
puntland,"homeland, migrants",0.44531249999999983
hogwash,antisemitism,0.44531249999999983
belies,seminal,0.44531249999999983
abolition,"immigrant, foreign",0.44531249999999983
manchus,ethnicity,0.44531249999999983
jehova,oriental,0.44326052937001
deobandi,homeland,0.44270833333333315
xinjiang,"immigrant, migrants, nation",0.44270833333333315
ancestory,"immigrant, natives, ancestors",0.44141671903317914
unpaid,nurse,0.4413560607207574
revolts,"slavery, migrants",0.44010416666666646
anthropologists,diversity,0.44010416666666646
aboriginals,"interracial, white",0.44010416666666646
polity,slavery,0.44010416666666646
diagnosis,disability,0.43993959303116065
indonesians,"immigrant, migrants",0.4376575346340893
historicism,antisemitism,0.4374999999999998
caucasians,"white, natives",0.43728408320413603
somalis,enslavement,0.43489583333333315
apologist,antisemitism,0.43489583333333315
eschatology,antisemitism,0.43489583333333315
haired,pale,0.4343170817003
obscures,seminal,0.43229166666666646
democracies,nation,0.43229166666666646
khwarizm,oriental,0.4316511688628127
apostasy,slavery,0.4296874999999998
anglophile,gentile,0.4296874999999998
niceties,mastery,0.4296874999999998
vientiane,enslavement,0.4296874999999998
persianized,"oriental, immigrant, ethnicity, tribe",0.42708333333333315
orientalism,slavery,0.42708333333333315
engender,respectability,0.42708333333333315
referendums,nation,0.42447916666666646
infidels,gentile,0.4218749999999998
thriving,diversity,0.4218749999999998
masculism,interracial,0.4218749999999998
oghuz,"oriental, tribe, ancestors",0.42154979379523905
empowered,spirit,0.41959554075163574
uniting,migrants,0.41958361151993245
normans,"natives, ancestors",0.4194412401808217
dismantling,foreign,0.4192708333333334
sobriety,interracial,0.4192708333333334
semitism,antisemitism,0.4192708333333334
background,color,0.41874420885125385
evoke,"interracial, enslavement",0.41666666666666674
salafis,interracial,0.41666666666666674
collegiality,ability,0.41527793318389866
endemic,disability,0.41406250000000006
sufferings,enslavement,0.41406250000000006
ccp,gentile,0.41406250000000006
colonialism,slavery,0.4139892900226329
racially,"racial, ethnicity",0.4138793387535006
judean,spinster,0.41364962542620726
slovaks,"immigrant, enslavement, nation, natives",0.4136278856387708
declines,ability,0.4132896107855322
afghans,"ethnicity, nation, natives, ancestors",0.4116941444300665
rastafarian,mastery,0.4114583333333334
liberating,"slavery, interracial, enslavement",0.4114583333333334
camptown,migrants,0.4114583333333334
minors,gender,0.41104016796033493
patriarch,patron,0.4109436029719365
aboriginal,nation,0.41051128704110484
demiurge,spirit,0.40988805336106937
postulates,seminal,0.40885416666666674
sexless,pale,0.40885416666666674
modicum,ability,0.4065350660262253
resided,"immigrant, slaves, nation",0.4060954695161575
anglos,racial,0.40364583333333337
unaffected,seminal,0.40364583333333337
turko,"oriental, ethnicity",0.40364583333333337
subjugate,migrants,0.40364583333333337
phobias,antisemitism,0.40364583333333337
languange,"oriental, gentile, barbarian, ancestors",0.4018401364176205
overthrow,homeland,0.40104166666666674
manifestation,mankind,0.40104166666666674
rallied,homeland,0.39843750000000006
stateless,"immigrant, nation",0.39843750000000006
securityfuck,homeland,0.39843750000000006
sparta,nation,0.3967422400753122
governement,refugee,0.39583333333333337
coalitions,homeland,0.39583333333333337
quakers,mastery,0.39583333333333337
theravada,oriental,0.39583333333333337
recognises,"immigrant, nation, foreign",0.3950228370663203
dictating,mastery,0.39322916666666674
hungarians,nation,0.3928819067749464
expandism,oriental,0.39062500000000006
sacrificed,"slavery, gentile",0.39062500000000006
analytic,seminal,0.39062500000000006
industrialized,migrants,0.39062500000000006
abide,spirit,0.38950102227614486
ardabil,oriental,0.38890325143485516
assimilated,"gentile, ancestors",0.38823591026425297
simplifications,mastery,0.38802083333333337
gassing,"gentile, enslavement",0.38802083333333337
multinational,foreign,0.38802083333333337
niominka,immigrant,0.3854166666666667
birther,interracial,0.3854166666666667
observance,spirit,0.3854166666666667
borrows,oriental,0.3854166666666667
goverment,foreign,0.3854166666666667
ecological,disability,0.3854166666666667
eurasian,oriental,0.3850227983532122
regionalism,antisemitism,0.38438430164423604
descendents,"immigrant, slaves, natives, ancestors",0.3834519805174402
smokers,"interracial, intersex",0.38281250000000006
barlas,"tribe, ethnicity",0.38281250000000006
enquiries,ability,0.3826813189280893
hephthalites,barbarian,0.38192050837129604
porcupine,madam,0.38168611256364204
amusement,darkness,0.3814390653570806
spaniards,"ethnicity, white, natives",0.3805177206818677
legalized,"interracial, enslavement",0.38020833333333337
protectorate,foreign,0.38020833333333337
lebensraum,gentile,0.38020833333333337
jihadists,"interracial, enslavement",0.3776041666666667
insurgent,migrants,0.3776041666666667
heretic,mankind,0.3776041666666667
monotheistic,slavery,0.3776041666666667
neglects,seminal,0.3776041666666667
suryoye,barbarian,0.37739513513027556
gamergate,antisemitism,0.37710083933825567
georgians,"immigrant, homeland",0.37697091328119725
pogroms,"slavery, antisemitism",0.3752732523925998
expel,"homeland, refugee",0.37500000000000006
lipson,gentile,0.37500000000000006
innately,intersex,0.37500000000000006
plundered,"enslavement, migrants",0.3746007538679998
paeonians,migrants,0.374244519202814
gutter,gentile,0.37239583333333337
ambiance,mastery,0.37239583333333337
hires,nurse,0.37239583333333337
drpizza,respectability,0.37239583333333337
outlooks,"mastery, diversity",0.37239583333333337
counterparts,foreign,0.37239583333333337
ambivalent,slavery,0.37239583333333337
evolutionism,seminal,0.37239583333333337
heartfelt,madam,0.3714823133998519
philistines,gentile,0.3714401293166557
imperialists,"enslavement, barbarian",0.3698901121360052
vichy,foreign,0.3697916666666667
selimovic,oriental,0.3697916666666667
loathing,respectability,0.3697916666666667
forcible,"slavery, homeland",0.36951687417172513
vassals,migrants,0.3694952650299468
honoring,slavery,0.36718750000000006
agaisnt,foreign,0.36718750000000006
jewry,homeland,0.36718750000000006
liberate,homeland,0.36718750000000006
personhood,intersex,0.36718750000000006
semiotics,mastery,0.36718750000000006
herzegovina,nation,0.3670961076464754
suckin,fat,0.3670322684622248
fijian,foreign,0.36663818446678675
afghanis,"nation, barbarian",0.3660233515358569
danes,"tribe, slaves, natives, ancestors",0.36561480308306293
prc,foreign,0.36543010628349026
inequality,"gender, diversity",0.36458333333333337
oversensitive,bossy,0.36458333333333337
muchly,madam,0.3638024390394669
northumberland,spinster,0.3633804908914296
jains,interracial,0.3619791666666667
cuchullian,oriental,0.3619791666666667
lowers,respectability,0.3619791666666667
antipsychotics,intersex,0.3619791666666667
shockingly,one,0.3619791666666667
passports,immigrant,0.3619791666666667
haskalah,"oriental, homeland",0.36188634479301796
counseling,disability,0.36145316111839193
breckinridge,spinster,0.36062618180195877
desirability,intersex,0.3602693593479596
moslems,"enslavement, nation",0.359375
bullshits,respectability,0.359375
congressmen,refugee,0.359375
irreligious,"racial, antisemitism",0.3592208042956561
chemicals,disability,0.3591237716657907
paramilitaries,refugee,0.35849170377301975
decendents,"tribe, slaves, enslavement, ancestors",0.35817433210841454
humanity,mankind,0.3575245493643052
judea,homeland,0.3573289069081975
mizrahi,"immigrant, enslavement",0.35677083333333337
militias,refugee,0.35677083333333337
migrants,"immigrant, slaves",0.35677083333333337
affraid,nation,0.35677083333333337
politicans,"immigrant, nation",0.35677083333333337
revisionist,antisemitism,0.3565432868575962
samaria,homeland,0.3541666666666667
outlawed,"slavery, slaves",0.3541666666666667
moravians,ethnicity,0.3541666666666667
rearing,interracial,0.3541666666666667
militants,refugee,0.3541666666666667
jihad,antisemitism,0.3541666666666667
innovate,intersex,0.3541666666666667
oneself,ability,0.35206854779094326
merchants,migrants,0.3520635599263571
hopelessly,antisemitism,0.3515625
overthrowing,foreign,0.3515625
inquisitions,"slavery, enslavement",0.3515625
trafficking,slavery,0.35019432442805487
nordic,white,0.34988536576058604
noob,fat,0.34928530255459006
tractatus,mastery,0.34895833333333337
demonym,foreign,0.34895833333333337
lefties,gentile,0.34895833333333337
encapsulate,mastery,0.34895833333333337
ameng,"mastery, foreign",0.34895833333333337
salafists,"homeland, enslavement",0.34895833333333337
conflation,seminal,0.34895833333333337
psychological,gender,0.3478283758877223
homos,cracker,0.34728709587901196
aramaean,barbarian,0.3469249735272703
genetically,racial,0.34643209411876696
shortsightedness,respectability,0.3463541666666667
ingenious,one,0.3463541666666667
sickens,"gentile, deaf",0.3463541666666667
sephardic,ancestors,0.34375
beheadings,enslavement,0.34375
sceptical,diversity,0.34375
highlands,oriental,0.3426829029460357
moors,"white, natives",0.3422794440748043
pregnancy,gender,0.341633259452094
tajikistan,immigrant,0.3416061027690624
confront,bossy,0.3415881381745508
laotian,foreign,0.3412790656587227
adultery,slavery,0.3411458333333333
popularised,enslavement,0.3411458333333333
visas,foreign,0.3411458333333333
savages,gentile,0.3411458333333333
limitless,respectability,0.3411458333333333
occupiers,barbarian,0.3411458333333333
afrocentrism,antisemitism,0.33956187091129486
wicca,mankind,0.3385416666666667
ghurids,enslavement,0.3385416666666667
nationalities,ethnicity,0.3385416666666667
unrecognized,"immigrant, nation",0.3385416666666667
nationals,"immigrant, nation, natives, foreign",0.3382679362509361
colonists,"slavery, slaves",0.3380147852092438
snowden,one,0.3375338638444771
constraining,respectability,0.3369658985269352
caucasion,"white, coloured",0.33686297494437256
aspie,bossy,0.33625394314725005
aberrations,"intersex, disability",0.3359375
saakashvili,barbarian,0.3359375
propogate,respectability,0.3359375
extermination,homeland,0.3359375
devotion,mankind,0.3359375
shine,darkness,0.3355157279903052
immorality,interracial,0.33348058813715176
oppressing,barbarian,0.3333333333333333
indulgent,respectability,0.3333333333333333
extolling,seminal,0.3333333333333333
sahrawi,"nation, foreign",0.3333333333333333
southerners,"slaves, enslavement, white",0.3333333333333333
homelands,migrants,0.3333333333333333
cherished,coloured,0.3333333333333333
turkestan,"immigrant, homeland, migrants, oriental",0.3328815369684137
imperfect,spirit,0.3321694970189947
spaniard,white,0.33153981772545493
rowspan,color,0.33109823248518777
maximise,intersex,0.3307291666666667
furthers,seminal,0.33072818670758364
acroterion,madam,0.3296629518208377
households,migrants,0.328125
imbalance,gender,0.328125
dumbing,mastery,0.328125
diverge,diversity,0.328125
mideast,"oriental, migrants",0.3277634424574335
propol,bossy,0.32669074070474063
scimd,gossip,0.3255208333333333
kurdistan,nation,0.3255208333333333
hooligans,one,0.3255208333333333
psychoanalytic,seminal,0.3255208333333333
deride,respectability,0.3255208333333333
homogeneous,racial,0.3255208333333333
motherland,"nation, barbarian",0.32481412104385915
guiding,spirit,0.32459091410363033
wikipeia,beggar,0.32445578916591844
chauvinism,interracial,0.32352197062991533
pagans,gentile,0.32350473415165143
modeled,foreign,0.3229166666666667
hellenization,enslavement,0.3229166666666667
