similar_word,sensitivity_score,input_word
isabel,0.17002364,patron
gamergate,0.16989282,antisemitism
barring,0.16966528,one
cynic,0.1694903,bossy
douches,0.16893172,bossy
sentient,0.16844046,mankind
viridae,0.1683327,madam
jew,0.16827513,fat
shines,0.16818993,darkness
sicko,0.16802979,mistress
uppity,0.16769065,bossy
choke,0.16726036,fat
beauchamp,0.166533,patron
chaim,0.16610943,patron
therapeutic,0.16601396,gender
afrocentrism,0.16568078,antisemitism
contractually,0.16532743,intersex
rubbed,0.16487339,woke
cud,0.16420561,mistress
canning,0.16407225,patron
eef,0.16405936,color
anittas,0.16396669,madam
slaves,0.1638119,slavery
darker,0.16352701,coloured
nerdy,0.1628967,cracker
overweight,0.16252047,partner
hahahahahahahaha,0.16224518,madam
nosey,0.16200823,fat
helens,0.16165778,spinster
closest,0.16161947,one
inspires,0.16160573,respectability
godly,0.16116749,darkness
abominable,0.16016936,respectability
saddo,0.15963441,beggar
constraining,0.1587097,respectability
ooooo,0.15845324,beggar
woodwork,0.15816072,one
cussing,0.15794176,deaf
profesional,0.15785815,respectability
abbot,0.1569685,patron
deadlock,0.15676673,one
bitten,0.15671025,woke
dumbass,0.15655753,fat
littlemountain,0.15635557,cracker
algerian,0.15628804,refugee
haskalah,0.15621462,homeland
homs,0.1559069,refugee
scrape,0.15412524,nurse
pedophilia,0.15411198,gender
deadbeat,0.15387504,cracker
haifa,0.15346384,refugee
commander,0.15342326,chief
hissy,0.15309308,deaf
sins,0.15294386,mankind
andrex,0.1527933,cracker
fagget,0.15273988,cracker
impulses,0.15250099,gender
sucky,0.15214247,beggar
colonialism,0.1518674,slavery
forcible,0.15173239,slavery
refocus,0.15172644,woke
fuckign,0.15155664,mistress
unbias,0.15148781,one
abstention,0.15143475,gender
transgender,0.1512851,gender
sds,0.15095289,intersex
encylopaedia,0.15060028,respectability
ballz,0.15050554,fat
excrement,0.1502914,pale
muther,0.15012227,cracker
saddening,0.14947684,respectability
revisionist,0.14914782,antisemitism
sexual,0.14913502,gender
fuking,0.14885944,cracker
chauvinism,0.14796148,interracial
geez,0.1478893,woke
beacuse,0.14781055,gentile
jill,0.14706127,mistress
tats,0.1466743,gentile
weenie,0.14622062,beggar
faggit,0.14619476,mistress
